City,Date,Latitude,Longitude,Humidity,Max Temp,Wind Speed,Cloud Cover
Tres Arroyos,1554518506,-38.38,-60.28,69,54.62,12.8,0
Promyshlennyy,1554518506,67.58,63.92,93,24.2,21.52,88
San Jose de Sisa,1554516000,-6.62,-76.69,290,62.6,2.39,40
Ponta do Sol,1554517952,-20.63,-46.0,96,67.85,3.4,32
Raudeberg,1554517810,61.99,5.14,93,42.8,3.36,12
Warmbad,1554518477,50.67,13.08,100,45.0,2.24,90
Ouesso,1554518507,1.61,16.05,87,76.76,3.96,0
Saldanha,1554518052,41.42,-6.55,97,40.76,12.91,92
San Jose,1554518509,15.79,120.99,66,84.5,3.18,12
La Ronge,1554516000,55.1,-105.3,58,26.6,2.24,20
Berlevag,1554518012,70.86,29.09,100,22.49,8.43,0
Deputatskiy,1554518509,69.3,139.9,87,18.71,3.74,48
Basco,1554518273,40.33,-91.2,93,52.0,4.7,1
Gushikawa,1554516747,26.35,127.87,69,77.0,5.82,40
Narsaq,1554515400,60.91,-46.05,44,37.4,26.4,75
Eyrarbakki,1554518217,63.86,-21.15,64,36.0,9.17,75
Srednekolymsk,1554518030,67.46,153.71,67,23.84,3.4,0
Karoi,1554518510,-16.82,29.68,76,64.7,9.1,0
Turukhansk,1554518510,65.8,87.96,97,28.16,12.46,80
Champerico,1554514800,16.38,-93.6,48,84.2,16.11,40
Cabedelo,1554516000,-6.97,-34.84,94,77.0,3.36,20
Goderich,1554518016,43.74,-81.71,90,37.99,2.62,0
Kapuskasing,1554516000,49.42,-82.43,86,33.8,5.82,90
Bubaque,1554518019,11.28,-15.83,88,81.53,16.04,0
Nantucket,1554518488,41.28,-70.1,74,39.0,11.41,90
Deer Lake,1554516000,49.18,-57.43,68,24.8,10.29,20
Caravelas,1554518002,-17.73,-39.27,97,82.43,14.47,0
Byron Bay,1554518452,-28.65,153.62,61,82.0,5.82,20
Reconquista,1554518511,-29.14,-59.64,74,62.45,11.01,88
Amazar,1554518512,53.86,120.88,50,33.29,7.99,56
Pasaco,1554518512,13.98,-90.21,74,77.3,2.62,12
Kloulklubed,1554515400,7.04,134.26,79,84.2,9.17,75
Cabra,1554518236,37.47,-4.43,93,44.6,5.82,92
Amudat,1554518512,1.95,34.95,82,61.55,4.18,0
Guadix,1554518503,37.3,-3.14,87,42.8,4.7,20
San Luis,1554518316,-33.3,-66.34,41,53.0,7.99,0
Longyearbyen,1554515400,78.22,15.63,72,17.6,2.24,90
Dodge City,1554518464,37.75,-100.02,52,64.99,17.22,1
Mehamn,1554518513,71.03,27.85,70,18.17,7.43,0
Taltal,1554518053,-25.41,-70.49,94,53.54,2.39,0
Mezen,1554518008,65.85,44.24,89,20.96,2.95,8
Portland,1554518363,45.52,-122.67,58,53.6,8.05,75
Yumen,1554517736,40.29,97.04,30,60.74,6.76,0
Yen Bai,1554518277,21.7,104.87,100,71.18,3.85,76
Porto Novo,1554516000,-23.68,-45.44,83,75.2,0.72,0
Adre,1554518514,13.47,22.2,25,61.28,7.2,0
Kaitangata,1554517928,-46.28,169.85,52,55.0,10.0,0
Villiers,1554518515,-27.03,28.6,94,51.83,8.55,56
Beira,1554518291,43.2,-8.36,93,50.0,10.29,0
Normandin,1554516000,48.84,-72.53,37,33.8,8.05,90
Iqaluit,1554516723,63.75,-68.52,92,17.6,11.68,90
Pori,1554517200,61.49,21.79,80,30.2,4.7,0
Lasa,1554517883,34.92,32.53,87,55.4,5.82,0
Rantepao,1554518516,-2.97,119.9,82,78.92,1.61,12
Emba,1554517883,34.81,32.42,87,55.4,5.82,0
Latung,1554518516,-8.45,120.42,82,82.79,3.51,0
Biak,1554518012,-0.91,122.88,78,86.66,2.06,8
Bilibino,1554517999,68.06,166.44,74,31.67,3.18,0
Cururupu,1554518471,-1.82,-44.87,100,72.89,3.18,92
Karaton,1554517975,-6.34,106.1,78,87.01,3.36,20
Nanma,1554518517,35.7,113.14,22,72.35,4.74,8
Deep River,1554517916,46.1,-77.49,96,33.01,4.7,90
Oranjemund,1554518517,-28.55,16.43,94,59.48,19.17,20
Ust-Nera,1554517979,64.57,143.24,78,28.61,2.62,8
Campos Belos,1554518517,-13.04,-46.77,92,68.75,2.73,24
Buchanan,1554516000,5.88,-10.05,94,75.2,4.63,75
San Carlos del Zulia,1554518518,9.0,-71.91,67,81.8,2.84,0
Ballina,1554518407,54.11,-9.15,86,46.0,7.0,88
Gold Coast,1554518469,-28.0,153.41,61,82.99,10.29,48
Micheldorf,1554518435,46.91,14.43,87,44.6,2.24,75
Carballo,1554518516,43.21,-8.69,93,50.0,10.29,0
Sosnovo-Ozerskoye,1554518519,52.53,111.54,42,27.8,9.89,0
Te Anau,1554518013,-45.41,167.72,49,53.54,3.4,0
Atasu,1554518519,48.68,71.64,100,41.03,8.21,80
Zabaykalsk,1554518519,49.64,117.33,43,36.44,15.82,24
Bom Jesus,1554516000,-5.99,-35.58,94,78.8,3.36,40
Menongue,1554518513,-14.66,17.68,69,69.11,3.4,12
Sao Jose da Coroa Grande,1554518053,-8.9,-35.15,86,79.46,4.74,100
Xiaoshi,1554518520,30.59,116.63,68,70.55,5.64,36
Guarapuava,1554518262,-25.4,-51.46,96,66.05,4.52,68
Tilichiki,1554517964,60.47,166.1,90,35.45,3.85,0
Kutum,1554518012,14.2,24.66,30,55.07,6.2,0
Siilinjarvi,1554517200,63.08,27.67,92,30.2,4.7,0
Frohnleiten,1554518410,47.27,15.33,93,44.01,2.24,75
Bethanien,1554518521,-26.5,17.16,76,47.69,2.95,0
Umm Kaddadah,1554518521,13.6,26.69,23,62.09,6.64,0
Grants,1554515700,35.15,-107.85,25,53.6,16.11,75
Vojka,1554516000,48.46,21.91,50,55.4,2.24,76
Barcelos,1554518304,41.53,-8.62,76,48.2,13.87,40
Kasongo-Lunda,1554518466,-6.48,16.82,98,70.82,1.5,0
Arman,1554518521,59.7,150.17,68,36.35,8.88,88
Tautira,1554516744,-17.73,-149.15,62,89.6,8.05,40
Rio Gallegos,1554516000,-51.62,-69.22,70,44.6,32.21,90
Akureyri,1554516000,65.68,-18.09,69,33.8,2.24,90
Ulaangom,1554518522,49.98,92.07,68,41.93,3.51,24
Boat of Garten,1554518483,57.25,-3.76,100,36.0,1.12,20
Mutoko,1554518522,-17.4,32.23,84,60.65,2.73,8
Bay Roberts,1554517941,47.58,-53.28,68,28.0,23.04,40
Dunedin,1554517649,-45.87,170.5,47,55.0,8.01,0
Severobaykalsk,1554518523,55.65,109.32,72,21.68,2.06,8
Manyana,1554518414,-35.26,150.51,54,84.99,5.82,12
Manado,1554516000,1.49,124.85,66,86.0,3.36,20
Mayo,1554516000,63.59,-135.9,48,32.0,9.17,90
Gamba,1554518017,28.28,88.52,98,19.43,0.94,0
Gualaceo,1554516000,-2.89,-78.78,87,59.0,10.29,75
Tura,1554518524,25.52,90.21,87,72.98,3.96,12
Vallenar,1554518373,-28.58,-70.76,75,51.2,2.95,0
San Ramon,1554517990,12.92,-85.84,81,69.01,4.0,76
Harper,1554517996,30.3,-99.24,68,72.0,3.36,1
Salta,1554516000,-24.79,-65.41,87,55.4,2.24,0
Malyye Derbety,1554518525,47.95,44.68,73,28.61,2.95,8
Khasan,1554518465,42.43,130.64,55,48.41,9.66,0
Virginia Beach,1554518224,36.85,-75.98,93,57.99,10.56,90
Bandarbeyla,1554518005,9.49,50.81,100,78.38,2.39,0
Saint Anthony,1554517521,43.97,-111.68,75,48.2,14.99,90
Avera,1554517978,33.19,-82.53,88,68.0,3.36,1
Junagarh,1554518526,19.86,82.94,50,82.97,6.76,8
Bellinzona,1554518342,46.19,9.02,76,50.0,2.24,40
Letka,1554516000,43.74,17.27,93,46.4,2.24,75
Kristiansund,1554515400,63.12,7.73,93,37.4,10.29,88
Pointe-Noire,1554516000,-4.8,11.85,94,80.6,2.24,75
Yima,1554518526,34.75,111.87,30,78.74,6.42,0
Khani,1554516000,41.96,42.96,93,42.8,2.24,40
